Date;URALS_price;BRENT_price;RUBLE_EXCHrate;IMOEX_CLOSE;MIACR_RatePerDay;CPI_HighFreq;VIX_volatility
18.01.2022;0,008492082;0,011910268;0,003263964;-0,064996419;0,0831;2,59464E-05;22,79
19.01.2022;0,019685935;0,010627357;0;0,032406712;0,0829;7,42996E-05;23,85
20.01.2022;0,005356545;-0,000678426;0;0,023044559;0,0828;-0,000248521;25,59
21.01.2022;-0,011211011;-0,005544241;0,008796419;-0,021834347;0,0829;0,000207263;28,85
22.01.2022;0;0;0,016510071;0;0,0829;0,00025958;28,85
23.01.2022;0;0;0,00383382;0;0,0829;-0,000297489;28,85
24.01.2022;-0,023574315;-0,018432131;4,18019E-05;-0,059306535;0,0833;3,7918E-05;29,9
25.01.2022;0,018510002;0,022371624;-0,014308333;0,007251304;0,0844;-2,47581E-05;31,16
26.01.2022;0,035444181;0,019954649;0;0,030355291;0,0847;1,1525E-05;31,96
27.01.2022;-0,003597514;-0,006891952;0;0,029267406;0,0846;9,6971E-05;30,49
28.01.2022;0,015098468;0,007723304;-0,004461727;0,009453316;0,0841;0,00023562;27,66
29.01.2022;0;0;-0,004388784;0;0,0841;-0,000346947;27,66
30.01.2022;0;0;-0,008366373;0;0,0841;-4,16687E-05;27,66
31.01.2022;-0,007975857;0,013106742;0,002159903;0,011976151;0,0828;0,000782852;24,83
01.02.2022;-0,017057801;-0,022475606;-0,007817341;0,005039118;0,0813;-0,000985426;21,96
02.02.2022;-0,009063778;0,003476895;0;-0,001231621;0,082;0,000616276;22,09
03.02.2022;0,013496933;0,018330167;0;-0,020492127;0,081;0,000149789;24,35
04.02.2022;0,059432093;0,023707606;-0,004869107;-4,89747E-05;0,0802;0,000254388;23,22
05.02.2022;0;0;-0,004973534;0;0,0802;0,021225465;23,22
06.02.2022;0;0;-0,00667559;0;0,0802;0,002595204;23,22
07.02.2022;0,00664866;-0,006218505;-0,001034739;-6,62631E-05;0,0785;0,003960885;22,86
08.02.2022;-0,024045408;-0,020606322;0,003514261;0,023300238;0,0841;-0,003978003;21,44
09.02.2022;-0,000634451;0,008482045;0;0,024574494;0,0849;0,002842624;19,96
10.02.2022;0,008782139;-0,001529219;0;0,004624986;0,0867;0,000505016;23,91
11.02.2022;-0,017096707;0,033147358;0,021197092;-0,029854257;0,0889;0,003143718;27,36
12.02.2022;0;0;-0,005356756;0;0,0889;0,00014999;27,36
13.02.2022;0;0;-0,015123546;0;0,0889;0,000235489;27,36
